EMDN V2					
CATEGORY 	CATEGORY DESCRIPTION	CODE	TERM	LEVEL 	TERMINAL LEVEL YES/NO 
H	SUTURE DEVICES	H010202010101	STAINLESS STEEL MONOFILAMENT WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202010102	STAINLESS STEEL MONOFILAMENT WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020102	SILVER MONOFILAMENT	6	NO
H	SUTURE DEVICES	H010202010201	SILVER MONOFILAMENT WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202010202	SILVER MONOFILAMENT WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020103	TITANIUM MONOFILAMENT 	6	NO
H	SUTURE DEVICES	H010202010301	TITANIUM MONOFILAMENT WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202010302	TITANIUM MONOFILAMENT WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020199	NON-ABSORBABLE NON-SYNTHETIC MONOFILAMENT SUTURES - OTHER	6	YES
H	SUTURE DEVICES	H01020202	NON-ABSORBABLE NON-SYNTHETIC MULTIFILAMENT SUTURES	5	NO
H	SUTURE DEVICES	H0102020201	STAINLESS STEEL MULTIFILAMENT	6	NO
H	SUTURE DEVICES	H010202020101	STAINLESS STEEL MULTIFILAMENT WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202020102	STAINLESS STEEL MULTIFILAMENT WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020202	LINEN	6	NO
H	SUTURE DEVICES	H010202020201	LINEN WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202020202	LINEN WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020203	SILK	6	NO
H	SUTURE DEVICES	H010202020301	SILK WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202020302	SILK WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020204	TITANIUM MULTIFILAMENT 	6	NO
H	SUTURE DEVICES	H010202020401	TITANIUM MULTIFILAMENT WITH NEEDLE	7	YES
H	SUTURE DEVICES	H010202020402	TITANIUM MULTIFILAMENT WITHOUT NEEDLE	7	YES
H	SUTURE DEVICES	H0102020299	NON-ABSORBABLE NON-SYNTHETIC MULTIFILAMENT SUTURES - OTHER	6	YES
H	SUTURE DEVICES	H0199	SURGICAL SUTURES - OTHER	3	YES
H	SUTURE DEVICES	H02	MECHANICAL SURGICAL STAPLERS	2	NO
H	SUTURE DEVICES	H0201	SKIN STAPLERS	3	NO
H	SUTURE DEVICES	H020101	MECHANICAL SKIN STAPLERS	4	NO
H	SUTURE DEVICES	H02010101	SKIN STAPLERS, SINGLE-USE	5	YES
H	SUTURE DEVICES	H02010102	SKIN STAPLERS, SINGLE PATIENT	5	YES
H	SUTURE DEVICES	H02010103	SKIN STAPLERS, REUSABLE (STAINLESS STEEL)	5	YES
H	SUTURE DEVICES	H02010104	SINGLE-USE STAPLER CARTRIDGES FOR SINGLE PATIENT 	5	YES
H	SUTURE DEVICES	H02010105	SINGLE-USE CARTRIDGES FOR REUSABLE STAPLERS	5	YES
H	SUTURE DEVICES	H02010106	METAL SURGICAL STAPLE REMOVERS, SINGLE-USE	5	YES
H	SUTURE DEVICES	H02010199	MECHANICAL SKIN STAPLERS - OTHER	5	YES
H	SUTURE DEVICES	H020102	CLIPS	4	NO
H	SUTURE DEVICES	H02010201	SKIN CLIPS	5	YES
H	SUTURE DEVICES	H02010202	STERNAL CLIPS	5	YES
H	SUTURE DEVICES	H02010299	CLIPS - OTHER	5	YES
H	SUTURE DEVICES	H020180	SKIN STAPLERS - ACCESSORIES	4	YES
H	SUTURE DEVICES	H020199	SKIN STAPLERS - OTHER	4	YES
H	SUTURE DEVICES	H0202	STAPLERS, OPEN SURGERY	3	NO
H	SUTURE DEVICES	H020201	LINEAR STAPLERS, OPEN SURGERY	4	NO
H	SUTURE DEVICES	H02020101	STRAIGHT LINEAR STAPLERS FOR OPEN SURGERY	5	NO
H	SUTURE DEVICES	H0202010101	SINGLE PATIENT STRAIGHT LINEAR STAPLERS FOR OPEN SURGERY	6	NO
H	SUTURE DEVICES	H020201010101	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITH BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H020201010102	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITHOUT BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H0202010102	REUSABLE (STAINLESS STEEL) STRAIGHT LINEAR STAPLERS FOR OPEN SURGERY	6	NO
H	SUTURE DEVICES	H020201010201	REUSABLE (STAINLESS STEEL) STRAIGHT LINEAR STAPLERS WITH BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H020201010202	REUSABLE (STAINLESS STEEL) STRAIGHT LINEAR STAPLERS WITHOUT BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H0202010199	STRAIGHT LINEAR STAPLERS FOR OPEN SURGERY - OTHER	6	YES
H	SUTURE DEVICES	H02020102	ARTICULATED LINEAR STAPLERS FOR OPEN SURGERY	5	NO
H	SUTURE DEVICES	H0202010201	SINGLE-USE ARTICULATED LINEAR STAPLERS FOR OPEN SURGERY	6	NO
H	SUTURE DEVICES	H020201020101	SINGLE-USE ARTICULATED LINEAR STAPLERS WITHOUT BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H020201020102	SINGLE-USE ARTICULATED LINEAR STAPLERS WITH BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H0202010202	SINGLE PATIENT ARTICULATED LINEAR STAPLERS FOR OPEN SURGERY	6	NO
H	SUTURE DEVICES	H020201020201	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITH BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H020201020202	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITHOUT BLADE FOR OPEN SURGERY	7	YES
H	SUTURE DEVICES	H0202010299	ARTICULATED LINEAR STAPLERS FOR OPEN SURGERY- OTHER	6	YES
H	SUTURE DEVICES	H02020103	SINGLE-PATIENT LINEAR SUTURE CARTDRIGES FOR OPEN SURGERY	5	NO
H	SUTURE DEVICES	H0202010301	SINGLE-PATIENT LINEAR SUTURE CARTDRIGES WITH BLADE FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H0202010302	SINGLE-PATIENT LINEAR SUTURE CARTDRIGES WITHOUT BLADE FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H0202010399	SINGLE-PATIENT LINEAR SUTURE CARTDRIGES FOR OPEN SURGERY - OTHER	6	YES
H	SUTURE DEVICES	H02020104	REUSABLE LINEAR SUTURE CARTDRIGES FOR OPEN SURGERY	5	NO
H	SUTURE DEVICES	H0202010401	REUSABLE LINEAR SUTURE CARTDRIGES WITH BLADE FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H0202010402	REUSABLE LINEAR SUTURE CARTDRIGES WITHOUT BLADE FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H0202010499	REUSABLE LINEAR SUTURE CARTDRIGES FOR OPEN SURGERY - OTHER	6	YES
H	SUTURE DEVICES	H02020199	LINEAR STAPLERS FOR OPEN SURGERY - OTHER	5	YES
H	SUTURE DEVICES	H020202	CIRCULAR STAPLERS FOR OPEN SURGERY	4	NO
H	SUTURE DEVICES	H02020201	STRAIGHT CIRCULAR STAPLERS FOR OPEN SURGERY	5	NO
H	SUTURE DEVICES	H0202020101	SINGLE-USE STRAIGHT CIRCULAR STAPLERS FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H0202020102	REUSABLE STRAIGHT CIRCULAR STAPLERS FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H02020202	CURVED CIRCULAR STAPLERS FOR OPEN SURGERY	5	NO
H	SUTURE DEVICES	H0202020201	SINGLE-USE CURVED CIRCULAR STAPLERS FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H0202020202	REUSABL CURVED CIRCULAR STAPLERS FOR OPEN SURGERY	6	YES
H	SUTURE DEVICES	H02020203	PURSE STRING STAPLERS	5	YES
H	SUTURE DEVICES	H02020204	REUSABLE CIRCULAR STAPLER CARTDRIGES FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H02020299	CIRCULAR STAPLERS FOR OPEN SURGERY - OTHER	5	YES
H	SUTURE DEVICES	H020203	SEMICIRCULAR STAPLERS FOR OPEN SURGERY	4	NO
H	SUTURE DEVICES	H02020301	SINGLE PATIENT STRAIGHT SEMICIRCULAR STAPLERS WITH BLADE FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H02020302	SINGLE PATIENT STRAIGHT SEMICIRCULAR STAPLER CARTRIDGES WITH BLADE FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H02020399	SEMICIRCULAR STAPLERS FOR OPEN SURGERY - OTHER	5	YES
H	SUTURE DEVICES	H020280	STAPLERS FOR OPEN SURGERY - ACCESSORIES	4	YES
H	SUTURE DEVICES	H020299	STAPLERS FOR OPEN SURGERY - OTHER	4	YES
H	SUTURE DEVICES	H0203	STAPLERS FOR VIDEOSURGERY	3	NO
H	SUTURE DEVICES	H020301	LINEAR STAPLERS FOR VIDEOSURGERY	4	NO
H	SUTURE DEVICES	H02030104	SINGLE PATIENT STRAIGHT LINEAR STAPLERS FOR VIDEOSURGERY	5	NO
H	SUTURE DEVICES	H0203010401	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITH BLADE FOR VIDEOSURGERY	6	NO
H	SUTURE DEVICES	H020301040101	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITH BLADE FOR THORACOSCOPY	7	YES
H	SUTURE DEVICES	H020301040102	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITH BLADE FOR LAPAROSCOPY	7	YES
H	SUTURE DEVICES	H020301040199	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITH BLADE FOR VIDEOSURGERY - OTHER	7	YES
H	SUTURE DEVICES	H0203010402	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITHOUT BLADE FOR VIDEOSURGERY	6	NO
H	SUTURE DEVICES	H020301040201	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITHOUT BLADE FOR THORACOSCOPY	7	YES
H	SUTURE DEVICES	H020301040202	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITHOUT BLADE FOR LAPAROSCOPY	7	YES
H	SUTURE DEVICES	H020301040299	SINGLE PATIENT STRAIGHT LINEAR STAPLERS WITHOUT BLADE FOR VIDEOSURGERY – OTHER	7	YES
H	SUTURE DEVICES	H0203010499	SINGLE PATIENT STRAIGHT LINEAR STAPLERS FOR VIDEOSURGERY – OTHER 	6	YES
H	SUTURE DEVICES	H02030105	SINGLE PATIENT ARTICULATED LINEAR STAPLERS FOR VIDEO SURGERY	5	NO
H	SUTURE DEVICES	H0203010501	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITH BLADE FOR VIDEO SURGERY	6	NO
H	SUTURE DEVICES	H020301050101	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITH BLADE FOR THORACOSCOPY	7	YES
H	SUTURE DEVICES	H020301050102	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITH BLADE FOR LAPAROSCOPY	7	YES
H	SUTURE DEVICES	H020301050199	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITH BLADE FOR VIDEOSURGERY – OTHER 	7	YES
H	SUTURE DEVICES	H0203010502	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITHOUT BLADE FOR VIDEO SURGERY	6	NO
H	SUTURE DEVICES	H020301050201	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITHOUT BLADE FOR THORACOSCOPY	7	YES
H	SUTURE DEVICES	H020301050202	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITHOUT BLADE FOR LAPAROSCOPY	7	YES
H	SUTURE DEVICES	H020301050299	SINGLE PATIENT ARTICULATED LINEAR STAPLERS WITHOUT BLADE FOR VIDEOSURGERY – OTHER	7	YES
H	SUTURE DEVICES	H02030106	LINEAR STAPLER CARTRIDGES FOR VIDEOSURGERY	5	YES
H	SUTURE DEVICES	H02030199	LINEAR STAPLERS FOR VIDEOSURGERY - OTHER	5	YES
H	SUTURE DEVICES	H020302	CIRCULAR STAPLERS FOR VIDEOSURGERY	4	NO
H	SUTURE DEVICES	H02030201	CURVED CIRCULAR STAPLERS FOR VIDEOSURGERY	5	NO
H	SUTURE DEVICES	H0203020101	SINGLE-USE CURVED CIRCULAR STAPLERS FOR VIDEOSURGERY	6	YES
H	SUTURE DEVICES	H0203020199	CIRCULAR STAPLERS FOR VIDEOSURGERY - OTHER	6	YES
H	SUTURE DEVICES	H02030299	CIRCULAR STAPLERS FOR VIDEOSURGERY – OTHER	5	YES
H	SUTURE DEVICES	H020303	CLIP APPLIERS	4	YES
H	SUTURE DEVICES	H020380	STAPLERS, VIDEOSURGERY - ACCESSORIES	4	YES
H	SUTURE DEVICES	H020399	STAPLERS, VIDEOSURGERY - OTHER	4	YES
H	SUTURE DEVICES	H0204	TRANSANAL RECTAL STAPLERS	3	NO
H	SUTURE DEVICES	H020401	SINGLE PATIENT TRANSANAL RECTAL STAPLERS	4	YES
H	SUTURE DEVICES	H020402	MULTI-USE TRANSANAL RECTAL STAPLERS	4	YES
H	SUTURE DEVICES	H020403	TRANSANAL RECTAL STAPLER CARTRIDGES 	4	YES
H	SUTURE DEVICES	H0299	MECHANICAL SURGICAL STAPLERS - OTHER	3	YES
H	SUTURE DEVICES	H03	HAEMOSTASIS CLIPS	2	NO
H	SUTURE DEVICES	H0301	HAEMOSTASIS CLIPS FOR OPEN SURGERY	3	NO
H	SUTURE DEVICES	H030101	MULTIPLE CLIP APPLIERS FOR OPEN SURGERY	4	NO
H	SUTURE DEVICES	H03010101	SINGLE-USE MULTIPLE CLIP APPLIERS FOR OPEN SURGERY 	5	YES
H	SUTURE DEVICES	H03010102	SINGLE-PATIENT MULTIPLE CLIP APPLIERS FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H03010104	SINGLE-PATIENT MULTIPLE CLIP APPLIER CARTRIDGES FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H03010105	REUSABLE MULTIPLE CLIP APPLIER CARTRIDGES FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H03010199	MULTIPLE CLIP APPLIERS FOR OPEN SURGERY - OTHER	5	YES
H	SUTURE DEVICES	H030102	SINGULAR CLIPS FOR OPEN SURGERY	4	NO
H	SUTURE DEVICES	H03010201	NON-ABSORBABLE SINGULAR CLIPS FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H03010202	ABSORBABLE SINGULAR CLIPS FOR OPEN SURGERY	5	YES
H	SUTURE DEVICES	H030199	HAEMOSTASIS CLIPS FOR OPEN SURGERY - OTHER	4	YES
H	SUTURE DEVICES	H0302	HAEMOSTASIS CLIPS FOR VIDEOSURGERY	3	NO
H	SUTURE DEVICES	H030201	MULTIPLE CLIP APPLIERS FOR VIDEOSURGERY	4	NO
H	SUTURE DEVICES	H03020101	SINGLE-USE MULTIPLE CLIP APPLIERS FOR VIDEOSURGERY	5	YES
H	SUTURE DEVICES	H03020103	REUSABLE MULTIPLE CLIP APPLIERS FOR VIDEOSURGERY	5	YES
H	SUTURE DEVICES	H03020199	MULTIPLE CLIP APPLIERS FOR VIDEOSURGERY - OTHER	5	YES
H	SUTURE DEVICES	H030299	HAEMOSTASIS CLIPS FOR VIDEOSURGERY - OTHER	4	YES
H	SUTURE DEVICES	H0303	HAEMOSTASIS CLIPS FOR OPEN SURGERY AND VIDEOSURGERY	3	NO
H	SUTURE DEVICES	H030301	SINGULAR HAEMOSTASIS CLIPS FOR OPEN SURGERY AND VIDEOSURGERY	4	NO
H	SUTURE DEVICES	H03030101	SINGULAR NON-ABSORBABLE HAEMOSTASIS CLIPS FOR OPEN SURGERY AND VIDEOSURGERY	5	YES
H	SUTURE DEVICES	H03030102	SINGLE ABSORBABLE CLIPS FOR HEMOSTASIS IN OPEN AND VIDEO SURGERY	5	YES
H	SUTURE DEVICES	H0380	HEMOSTASIS CLIPS - ACCESSORIES	3	NO
H	SUTURE DEVICES	H038001	SINGLE-USE DEVICES FOR REMOVAL OF CLIPS FOR HEMOSTASIS	4	NO
H	SUTURE DEVICES	H03800101	SINGLE-USE DEVICES FOR CLIP REMOVAL IN OPEN SURGERY	5	YES
H	SUTURE DEVICES	H03800102	SINGLE-USE DEVICES FOR CLIP REMOVAL IN VIDEO SURGERY	5	YES
H	SUTURE DEVICES	H038099	CLIPS FOR HEMOSTASIS - ACCESSORIES OTHER	4	YES
H	SUTURE DEVICES	H0399	HAEMOSTASIS CLIPS - OTHER	3	YES
H	SUTURE DEVICES	H90	SUTURE DEVICES - VARIOUS	2	NO
H	SUTURE DEVICES	H9001	TISSUE ADHESIVES	3	NO
H	SUTURE DEVICES	H900101	GLUES	4	NO
H	SUTURE DEVICES	H90010101	BIOLOGICAL GLUES	5	YES
H	SUTURE DEVICES	H90010102	SYNTHETIC GLUES	5	YES
H	SUTURE DEVICES	H900102	BANDAGES FOR SUTURES	4	YES
H	SUTURE DEVICES	H900199	TISSUE ADHESIVES - OTHER	4	YES
H	SUTURE DEVICES	H9002	TAPES, MEDICAL/SURGICAL	3	NO
H	SUTURE DEVICES	H900201	SUTURE TAPES	4	NO
H	SUTURE DEVICES	H90020101	UMBILICAL CORD TAPES	5	YES
H	SUTURE DEVICES	H90020102	CERCLAGE TAPES	5	YES
H	SUTURE DEVICES	H90020103	PARENCHYMATOUS TISSUE TAPES	5	YES
H	SUTURE DEVICES	H90020199	SUTURE TAPES - OTHER	5	YES
H	SUTURE DEVICES	H900202	MARKING TAPES, VASCULAR STRUCTURES	4	YES
H	SUTURE DEVICES	H900203	OCCLUSION TAPES, VASCULAR STRUCTURES	4	YES
H	SUTURE DEVICES	H900299	TAPES, MEDICAL/SURGICAL - OTHER	4	YES
H	SUTURE DEVICES	H9003	SUTURE REINFORCEMENT OR SUPPORT DEVICES	3	NO
H	SUTURE DEVICES	H900301	SUTURE BUTTONS	4	YES
H	SUTURE DEVICES	H900302	SUTURE FELTS	4	YES
H	SUTURE DEVICES	H900303	PLEDGETS	4	YES
H	SUTURE DEVICES	H900304	PLUGS	4	YES
H	SUTURE DEVICES	H900305	STAPLER REINFORCEMENTS	4	YES
H	SUTURE DEVICES	H900399	SUTURE SUPPORT OR REINFORCEMENT SUPPORT DEVICES - OTHER	4	YES
H	SUTURE DEVICES	H9005	SUTURE ZIPPERS	3	YES
H	SUTURE DEVICES	H9006	CRANIAL HOLE COVERS	3	YES
H	SUTURE DEVICES	H9007	ANCHORS FOR SOFT TISSUE SUTURE (excluding P09120102 ANCHORS FOR TENDON-LIGAMENT SYNTHESIS)	3	YES
H	SUTURE DEVICES	H9008	SINGLE-USE SUTURE INSTRUMENTS	3	NO
H	SUTURE DEVICES	H900801	SINGLE-USE NODE PUSHER	4	YES
H	SUTURE DEVICES	H900802	SINGLE-USE NEEDLE HOLDERS	4	YES
H	SUTURE DEVICES	H900899	SINGLE-USE INSTRUMENTS FOR SUTURES - OTHER	4	YES
H	SUTURE DEVICES	H9080	SUTURE ACCESSORIES	3	YES
H	SUTURE DEVICES	H9099	SUTURE DEVICES - OTHER	3	YES
J	ACTIVE-IMPLANTABLE DEVICES	J	ACTIVE-IMPLANTABLE DEVICES	1	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01	CARDIAC FUNCTIONALITY IMPLANTABLE DEVICES	2	NO
J	ACTIVE-IMPLANTABLE DEVICES	J0101	IMPLANTABLE PACEMAKERS	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J010101	IMPLANTABLE SINGLE CHAMBER PACEMAKERS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01010101	IMPLANTABLE SINGLE CHAMBER PACEMAKERS (SC)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J01010102	IMPLANTABLE SINGLE CHAMBER PACEMAKERS WITH SENSOR (SR)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010102	IMPLANTABLE SINGLE LEAD PACEMAKERS 	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01010201	IMPLANTABLE SINGLE LEAD VDD PACEMAKERS	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J01010202	IMPLANTABLE SINGLE LEAD VDDR PACEMAKERS WITH SENSOR	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010103	IMPLANTABLE DUAL CHAMBER PACEMAKERS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01010301	IMPLANTABLE DUAL CHAMBER PACEMAKERS (DC)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J01010302	IMPLANTABLE DUAL CHAMBER PACEMAKERS WITH SENSOR (DR)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010104	IMPLANTABLE TRIPLE CHAMBER PACEMAKERS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01010401	IMPLANTABLE TRIPLE CHAMBER PACEMAKERS FOR CARDIAC RESYNCHRONIZATION (TR)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010105	IMPLANTABLE PACEMAKERS WITH INCORPORATED ELECTRODES (LEADLESS)	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010180	IMPLANTABLE PACEMAKERS - ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010199	IMPLANTABLE PACEMAKERS - OTHER	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0102	IMPLANTABLE CARDIAC DIAGNOSTIC DEVICES	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J010201	IMPLANTABLE DIAGNOSTIC ARRHYTHMIAS RECORDING CARDIAC DEVICES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010280	CARDIAC DIAGNOSTIC DEVICES - ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010299	CARDIAC DIAGNOSTIC DEVICES - OTHER	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0103	IMPLANTABLE VENTRICULAR ASSISTANCE SYSTEMS	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J010301	IMPLANTABLE MONOVENTRICULAR AND BIVENTRICULAR ASSISTANCE SYSTEMS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01030101	IMPLANTABLE RIGHT MONOVENTRICULAR ASSISTANCE SYSTEMS (RVAD)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J01030102	IMPLANTABLE LEFT MONOVENTRICULAR ASSISTANCE SYSTEMS (LVAD)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J01030103	IMPLANTABLE BIVENTRICULAR ASSISTANCE SYSTEMS (BIVAD)	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010380	IMPLANTABLE VENTRICULAR ASSISTANCE SYSTEMS - ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010399	IMPLANTABLE VENTRICULAR ASSISTANCE SYSTEMS - OTHER	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0104	IMPLANTABLE ARTIFICIAL HEART AND IMPLANT KITS	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J010401	IMPLANTABLE ARTIFICIAL HEART AND IMPLANT KITS	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010480	IMPLANTABLE ARTIFICIAL HEART AND IMPLANT KITS - ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010499	IMPLANTABLE ARTIFICIAL HEART AND IMPLANT KITS - OTHER	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0105	IMPLANTABLE DEFIBRILLATORS	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J010501	IMPLANTABLE SINGLE CHAMBER DEFIBRILLATORS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01050101	IMPLANTABLE SINGLE CHAMBER DEFIBRILLATORS, WITH SENSORS	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010502	IMPLANTABLE DUAL CHAMBER DEFIBRILLATORS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01050201	IMPLANTABLE DUAL CHAMBER DEFIBRILLATORS, WITH SENSORS	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010503	IMPLANTABLE TRIPLE CHAMBER DEFIBRILLATORS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01050301	IMPLANTABLE TRIPLE CHAMBER DEFIBRILLATORS, WITH SENSORS	5	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010504	SUBCUTANEOUS IMPLANTABLE DEFIBRILLATORS	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010580	IMPLANTABLE DEFIBRILLATORS - ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010599	IMPLANTABLE DEFIBRILLATORS - OTHER	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0106	CARDIAC CONTRACTILITY MODULATION IMPLANTABLE DEVICES	3	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0107	ACTIVE IMPLANTABLE CARDIAC DEVICES REMOTE MONITORING SYSTEMS	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J010701	PULMONARY BLOOD PRESSURE REMOTE MONITORING SYSTEMS (INCLUDING SENSORS)	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010702	PACEMAKER AND IMPLANTABLE DEFIBRILLATOR REMOTE MONITORING SYSTEMS	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010780	ACTIVE IMPLANTABLE CARDIAC DEVICES REMOTE MONITORING SYSTEMS - HARDWARE ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010782	ACTIVE IMPLANTABLE CARDIAC DEVICES REMOTE MONITORING SYSTEMS - SOFTWARE ACCESSORIES	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010792	ACTIVE IMPLANTABLE CARDIAC DEVICES REMOTE MONITORING SYSTEMS - MEDICAL DEVICE SOFTWARE 	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J010799	ACTIVE IMPLANTABLE CARDIAC DEVICES REMOTE MONITORING SYSTEMS - OTHER	4	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0190	IMPLANTABLE CARDIAC DEVICES - VARIOUS	3	NO
J	ACTIVE-IMPLANTABLE DEVICES	J019001	PERMANENT CARDIAC LEADS	4	NO
J	ACTIVE-IMPLANTABLE DEVICES	J01900101	PERMANENT PACEMAKER LEADS (WITH OR W/O STEROID-ELUTION)	5	NO
J	ACTIVE-IMPLANTABLE DEVICES	J0190010101	ENDOCARDIAL ATRIAL AND VENTRICULAR LEADS, UNIPOLAR	6	NO
J	ACTIVE-IMPLANTABLE DEVICES	J019001010101	ATRIAL LEADS, PASSIVE FIXATION	7	YES
J	ACTIVE-IMPLANTABLE DEVICES	J019001010102	VENTRICULAR LEADS, PASSIVE FIXATION	7	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0190010102	ENDOCARDIAL ATRIAL AND VENTRICULAR LEADS, BIPOLAR (WITH ACTIVE OR PASSIVE FIXATION)	6	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0190010103	LEFT VENTRICULAR LEADS WITH CORONARY SINUS CANNULATION SYSTEM (TRIPLE CHAMBER P.M.)	6	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0190010104	ENDOCARDIAL PACEMAKER LEADS, SINGLE-LEAD	6	YES
J	ACTIVE-IMPLANTABLE DEVICES	J0190010105	EPICARDIAL PERMANENT CARDIAC LEADS	6	YES
